; Races data version 2
#Race
Name null race~
WName error!  ~
Pc_race FALSE~
Points 0
Class 100 100 100 100
Act 0
Aff 0
Off 0
Imm 0
Res 0
Vuln 0
Form 0
Spec 0
Size 2
Cbonus 0
Cpenalty 0
Stats 13 13 13 13 13
Mstats 18 18 18 18 18
Hstats 26 26 26 26 26
Sk1 '(null)'
Sk2 '(null)'
Sk3 '(null)'
Sk4 '(null)'
Sk5 '(null)'
Dambonus 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Wbonus 0 0 0 0 0 0 0 0 0 0 0
Hand none
Wealth 0
END
#Race
Name human~
WName Человек ~
Pc_race TRUE~
Points 0
Class 100 100 100 100
Act 0
Aff 0
Off 0
Imm 0
Res 0
Vuln 0
Form AHMV
Spec U
Size 2
Cbonus M
Cpenalty 0
Stats 13 13 13 13 13
Mstats 18 18 18 18 18
Hstats 26 26 26 26 26
Sk1 '(null)'
Sk2 '(null)'
Sk3 '(null)'
Sk4 '(null)'
Sk5 '(null)'
Dambonus 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Wbonus 0 0 0 0 0 0 0 0 0 0 0
Hand punch
Wealth 1
END
#Race
Name elf~
WName Эльф    ~
Pc_race TRUE~
Points 5
Class 120 150 100 120
Act 0
Aff J
Off 0
Imm 0
Res B
Vuln Z
Form AHMV
Spec KX
Size 2
Cbonus HKM
Cpenalty F
Stats 12 15 14 16 12
Mstats 17 20 19 21 17
Hstats 23 26 25 27 23
Sk1 'sneak'
Sk2 'hide'
Sk3 'quenia'
Sk4 'farsight'
Sk5 '(null)'
Dambonus 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -33 0
Wbonus 0 7 3 0 -4 -2 0 0 0 0 0
Hand punch
Wealth 1
END
#Race
Name dwarf~
WName Гном    ~
Pc_race TRUE~
Points 8
Class 150 100 125 100
Act 0
Aff JZ
Off 0
Imm 0
Res LQ
Vuln R
Form AHMV
Spec L
Size 2
Cbonus FO
Cpenalty E
Stats 15 12 14 11 16
Mstats 20 17 19 16 21
Hstats 26 24 25 22 27
Sk1 'berserk'
Sk2 'axe'
Sk3 '(null)'
Sk4 '(null)'
Sk5 '(null)'
Dambonus 0 0 0 0 0 0 0 0 -33 0 0 0 0 -33 40 0 0 0 0 0
Wbonus 0 2 -7 0 2 7 -2 -5 -4 0 0
Hand pound
Wealth 1
END
#Race
Name giant~
WName Гигант  ~
Pc_race TRUE~
Points 6
Class 180 120 150 105
Act 0
Aff 0
Off 0
Imm 0
Res HI
Vuln JP
Form AHMV
Spec J
Size 4
Cbonus IJ
Cpenalty H
Stats 19 10 10 11 17
Mstats 24 15 15 16 22
Hstats 30 21 21 22 30
Sk1 'bash'
Sk2 'fast healing'
Sk3 'mace'
Sk4 '(null)'
Sk5 '(null)'
Dambonus 0 0 0 0 -33 -33 33 0 0 0 0 0 33 0 0 0 0 0 0 0
Wbonus -3 -1 -7 0 6 3 7 -4 0 0 0
Hand crush
Wealth 1
END
#Race
Name vampire~
WName Вампир  ~
Pc_race TRUE~
Points 5
Class 125 200 100 150
Act 0
Aff PTZ
Off 0
Imm MO
Res 0
Vuln NSY
Form AHMV
Spec ABGNS
Size 2
Cbonus HL
Cpenalty K
Stats 16 15 15 16 12
Mstats 21 20 20 21 17
Hstats 27 26 26 27 23
Sk1 'fast healing'
Sk2 '(null)'
Sk3 '(null)'
Sk4 '(null)'
Sk5 '(null)'
Dambonus 0 0 0 0 0 0 0 0 0 -100 0 -100 0 0 0 33 0 0 0 0
Wbonus 1 0 0 0 0 0 0 0 0 0 0
Hand punch
Wealth 1
END
#Race
Name ogre~
WName Огр     ~
Pc_race TRUE~
Points 6
Class 180 150 130 100
Act 0
Aff c
Off R
Imm K
Res LQ
Vuln HPR
Form AHMV
Spec JM
Size 3
Cbonus I
Cpenalty HM
Stats 17 11 11 12 16
Mstats 22 16 16 17 21
Hstats 28 22 22 23 27
Sk1 'berserk'
Sk2 'fast healing'
Sk3 '(null)'
Sk4 '(null)'
Sk5 '(null)'
Dambonus 0 0 0 0 20 0 0 -100 -33 0 0 0 20 -33 33 0 0 0 0 0
Wbonus -2 0 -5 2 7 0 3 0 0 0 0
Hand pound
Wealth 1
END
#Race
